Task,Title,index,label,confidence
Administer first aid in emergency situations.,"Entertainment and Recreation Managers, Except Gambling",229,E0,high
Administer first aid to injured group participants.,Travel Guides,230,E2,moderate
Administer first aid to passengers in distress.,Flight Attendants,231,E0,high
Administer first aid treatment or life support care to sick or injured persons in prehospital settings.,Emergency Medical Technicians Paramedics,232,E0,high
"Administer first aid, such as bandaging, splinting, or administering oxygen.","Ambulance Drivers and Attendants, Except Emergency Medical Technicians",233,E0,high
Administer general and local anesthetics.,Oral and Maxillofacial Surgeons,234,E0,high
"Administer hearing or speech and language evaluations, tests, or examinations to patients to collect information on type and degree of impairments, using written or oral tests or special instruments.",Speech-Language Pathologists,235,E0,moderate
"Administer hearing tests and examine patients to collect information on type and degree of impairment, using specialized instruments and electronic equipment.",Audiologists,236,E0,high
"Administer highway planning, construction, or maintenance.",Architectural and Engineering Managers,237,E0,high
Administer immunizations or other basic preventive treatments.,Community Health Workers,238,E0,high
"Administer internet or intranet infrastructure, including Web, file, and mail servers.",Web Administrators,239,E2,moderate
Administer local anesthetic agents.,Dental Hygienists,240,E0,high
"Administer local, inhalation, intravenous, or other anesthetics.",Registered Nurses,241,E0,high
"Administer manual exercises, massage, or traction to help relieve pain, increase patient strength, or decrease or prevent deformity or crippling.",Physical Therapists,242,E0,high
"Administer medication, immunizations, or blood plasma to animals as prescribed by veterinarians.",Veterinary Assistants and Laboratory Animal Caretakers,243,E0,high
"Administer medications intravenously, by injection, orally, through gastric tubes, or by other methods.",Critical Care Nurses,244,E0,high
"Administer medications or treatments, such as catheterizations, suppositories, irrigations, enemas, massages, or douches, as directed by a physician or nurse.",Nursing Assistants,245,E0,high
Administer medications to patients and monitor patients for reactions or side effects.,Registered Nurses,246,E0,high
"Administer medications, including those administered by injection.",Advanced Practice Psychiatric Nurses,247,E0,high
Administer online purchasing systems.,Purchasing Managers,248,E2,moderate
"Administer or order diagnostic tests, such as x-ray, electrocardiogram, and laboratory tests.",Physician Assistants,249,E0,high
"Administer oral medications or hypodermic injections, following physician's prescriptions and hospital procedures.",Psychiatric Technicians,250,E0,high
"Administer oral, written, or performance tests to measure progress and to evaluate training effectiveness.","Career/Technical Education Teachers, Postsecondary",251,E1,high
"Administer oral, written, road, or flight tests to license applicants.",Compliance Officers,252,E2,moderate
Administer post-anesthesia medications or fluids to support patients' cardiovascular systems.,Nurse Anesthetists,253,E0,high
"Administer prescribed doses of radiation to specific body parts, using radiation therapy equipment according to established practices and standards.",Radiation Therapists,254,E0,high
"Administer prescribed medications or start intravenous fluids, noting times and amounts on patients' charts.",Licensed Practical and Licensed Vocational Nurses,255,E1,high
Administer prescribed medications to animals.,Animal Trainers,256,E0,high
"Administer prescribed oral medications, under the written direction of physician or as directed by home care nurse or aide, and ensure patients take their medicine.",Home Health Aides,257,E1,moderate
Administer programs designed to ensure the proper sealing of abandoned wells.,Hydrologists,258,E0,high
"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Chief Executives,259,E0,high
Administer radioisotopes to clinical patients or research subjects.,Radiologists,260,E0,high
"Administer radiopharmaceuticals or radiation intravenously to detect or treat diseases, using radioisotope equipment, under direction of a physician.",Nuclear Medicine Technologists,261,E0,high
"Administer regulations regarding sanitation, fire prevention, violation corrections, and related forest regulations.",Forest Fire Inspectors and Prevention Specialists,262,E0,high
Administer religious rites or ordinances.,Clergy,263,E0,high
Administer standardized ability and achievement tests and interpret results to determine children's developmental levels and needs.,"Kindergarten Teachers, Except Special Education",264,E2,moderate
Administer standardized ability and achievement tests to elementary students with special needs.,"Special Education Teachers, Elementary School",265,E0,high
Administer standardized ability and achievement tests to kindergarten students with special needs.,"Special Education Teachers, Kindergarten",266,E2,moderate
"Administer standardized ability and achievement tests, and interpret results to determine student strengths and needs.","Elementary School Teachers, Except Special Education Middle School Teachers, Except Special and Career/Technical Education",267,E1,moderate
"Administer standardized ability and achievement tests, and interpret results to determine students' strengths and needs.","Special Education Teachers, Middle School Special Education Teachers, Secondary School Secondary School Teachers, Except Special and Career/Technical Education",268,E1,high
"Administer standardized tests to research subjects, or interview them to collect research data.",Social Science Research Assistants,269,E1,high
"Administer subcutaneous or intramuscular injects, in accordance with licensing restrictions.",Phlebotomists,270,E0,high
"Administer systems and programs to reduce loss, maintain inventory control, or increase safety.",Loss Prevention Managers,271,E0,high
Administer tests and interpret test results to develop rehabilitation plans for clients.,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",272,E0,high
Administer tests to assess whether engineers or operators are qualified to use equipment.,"Inspectors, Testers, Sorters, Samplers, and Weighers",273,E0,moderate
"Administer tests to help determine children's developmental levels, needs, and potential.","Preschool Teachers, Except Special Education",274,E1,high
"Administer tests to help determine children's developmental levels, needs, or potential.","Special Education Teachers, Preschool",275,E0,high
Administer therapeutic medication and advise patron to seek medical treatment for chronic or contagious scalp conditions.,"Hairdressers, Hairstylists, and Cosmetologists",276,E0,high
Administer topical ophthalmic or oral medications.,Ophthalmic Medical Technologists Ophthalmic Medical Technicians,277,E0,high
"Administer traction to relieve neck or back pain, using intermittent or static traction equipment.",Physical Therapist Aides Physical Therapist Assistants,278,E0,high
"Administer treatment involving application of physical agents, using equipment, moist packs, ultraviolet or infrared lamps, or ultrasound machines.",Physical Therapists,279,E0,high
"Administer treatments or therapies, such as homeopathy, hydrotherapy, Oriental or Ayurvedic medicine, electrotherapy, and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",Naturopathic Physicians,280,E0,high
